,gender,emotion,actor,path
0,male,surprise,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-08-02-01-01-01.wav
1,male,neutral,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-01-01-01-01-01.wav
2,male,fear,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-06-01-02-02-01.wav
3,male,surprise,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-08-02-02-02-01.wav
4,male,neutral,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-01-01-01-02-01.wav
5,male,disgust,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-07-01-01-01-01.wav
6,male,happy,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-03-01-02-01-01.wav
7,male,disgust,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-07-01-02-01-01.wav
8,male,sad,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-04-01-02-02-01.wav
9,male,sad,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-04-01-02-01-01.wav
10,male,happy,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-03-01-01-02-01.wav
11,male,disgust,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-07-02-01-01-01.wav
12,male,angry,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-05-02-01-01-01.wav
13,male,calm,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-02-02-01-02-01.wav
14,male,angry,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-05-02-01-02-01.wav
15,male,happy,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-03-02-01-01-01.wav
16,male,surprise,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-08-02-02-01-01.wav
17,male,fear,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-06-02-02-02-01.wav
18,male,calm,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-02-02-02-02-01.wav
19,male,angry,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-05-02-02-01-01.wav
20,male,calm,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-02-02-02-01-01.wav
21,male,disgust,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-07-02-02-01-01.wav
22,male,surprise,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-08-01-01-01-01.wav
23,male,fear,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-06-02-02-01-01.wav
24,male,fear,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-06-01-01-01-01.wav
25,male,fear,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-06-02-01-01-01.wav
26,male,calm,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-02-01-02-01-01.wav
27,male,disgust,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-07-02-01-02-01.wav
28,male,calm,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-02-01-01-02-01.wav
29,male,fear,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-06-01-01-02-01.wav
30,male,happy,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-03-01-01-01-01.wav
31,male,neutral,1,/home/abbey/dataset/emotion/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-01-01-02-01-01.wav
